VideoId,Reviewed_by,Notes,Rating,in_playlist,Country_Code,Country_Name,Video_Offer,Video_Clicks
www.youtube.com/watch?v=d_cV61m413A,Eric,,1,,NL,Netherlands,Fiesta,3
www.youtube.com/watch?v=liYEDguuPFA,Sohaib,,1,,,,Fiesta,1
www.youtube.com/watch?v=7tc7aotSHT0,Eric,,1,,NO,Norway,Elsword,1
www.youtube.com/watch?v=WaX908jZDTo,Callum,,1,,RS,Serbia,Disney Ghosts of Mistwood,22
www.youtube.com/watch?v=AgDT7BsoHN4,Eric,,1,,RS,Serbia,Disney Ghosts of Mistwood,36
www.youtube.com/watch?v=kozPeHzJ9Pw,Leo,,1,,UK,United Kingdom,Age of Wushu,16
www.youtube.com/watch?v=vQNBJQXcPWs,sheldon,,1,1,PL,Poland,Aion,24
www.youtube.com/watch?v=Ixx6ewS_I4o,Jesse,,1,,UK,United Kingdom,League of Legends,2
www.youtube.com/watch?v=MuDQ7JUtB7g,Jesse,,1,,UK,United Kingdom,League of Legends,2
www.youtube.com/watch?v=wLmZo6Wd5ig,Sohaib,trailer,1,,US,United States,Warframe,20
www.youtube.com/watch?v=9m1O83FaEF8,Jesse,,1,,UK,United Kingdom,PlanetSide 2,20
www.youtube.com/watch?v=Cx_StX0AkGU,Sohaib,,1,,UA,Ukraine,Rappelz Online,1
www.youtube.com/watch?v=2A1-OmZNhl0,Sohaib,,1,,UA,Ukraine,Terra Militaris Online,1
www.youtube.com/watch?v=WEpoqnzKCu8,sheldon,,1,,GR,Greece,League of Legends,13
www.youtube.com/watch?v=jor4unHBrc0,Stefan,,1,,GR,Greece,PlanetSide 2,17
www.youtube.com/watch?v=POLTlCzWL4w,Tyler,,1,,GR,Greece,War Thunder,4
www.youtube.com/watch?v=e2N6n3pWirQ,Tyler,,1,,GR,Greece,Path of Exile,3
www.youtube.com/watch?v=csUtGKyaiog,Tyler,,1,,GR,Greece,Age of Wushu,15
www.youtube.com/watch?v=jjiWbc9FyfY,Tyler,,1,,GR,Greece,World of Tanks,1
www.youtube.com/watch?v=WmBNjauA4_s,Tyler,,1,,GR,Greece,RaiderZ,7
www.youtube.com/watch?v=L727s-R1qt0,Tyler,,1,,GR,Greece,Warframe,1
www.youtube.com/watch?v=SVMPQY3_egQ,Tyler,,1,,GR,Greece,Miner Wars,1
www.youtube.com/watch?v=qavWsYm-Deg,Tyler,,1,,GR,Greece,Chrono Tales,13
www.youtube.com/watch?v=hSOMcPHS71s,Tyler,,1,,GR,Greece,Scarlet Blade,9
www.youtube.com/watch?v=g2CgcXBldzo,Tyler,,1,,GR,Greece,Star Wars: The Old Republic (SWTOR),4
www.youtube.com/watch?v=OQ37azTQsX0,Tyler,,1,,GR,Greece,Godsrule,9
www.youtube.com/watch?v=CbTNxPW4UvE,Sohaib,,1,,DE,Germany,Dragonica Online,1
www.youtube.com/watch?v=u5Fl9ctRrk8,Sohaib,,1,,DE,Germany,Dragonica Online,1
www.youtube.com/watch?v=feanAs2f1IE,Sohaib,,1,,DE,Germany,Dragonica Online,1
www.youtube.com/watch?v=OegIXnd3l7I,Sohaib,,1,,DE,Germany,Dragonica Online,1
www.youtube.com/watch?v=THY4FyWchZM,Sohaib,,1,,DE,Germany,Dragonica Online,2
www.youtube.com/watch?v=iLlOZc-Umw4,Sohaib,,1,,DE,Germany,Rappelz Online,5
www.youtube.com/watch?v=8IAfxjqwsQc,Sohaib,,1,,US,United States,Team Fortress 2,2
www.youtube.com/watch?v=Kh99RFHtOk0,Sohaib,,1,,,,Star Wars: The Old Republic (SWTOR),2
www.youtube.com/watch?v=t-GCAZDhD7k,George,,1,,UK,United Kingdom,League of Legends,3
www.youtube.com/watch?v=X_aVyShT8lw,George,,1,,UK,United Kingdom,League of Legends,2
www.youtube.com/watch?v=k6E3O0CHUcQ,George,,1,,UK,United Kingdom,League of Legends,7
www.youtube.com/watch?v=FUsxDEm3Ukc,George,,1,,UK,United Kingdom,League of Legends,4
www.youtube.com/watch?v=OAibkUoBTa4,Sohaib,,1,,ES,Spain,Wartune,6
www.youtube.com/watch?v=8tehzN8OBcA,Sohaib,,1,,ES,Spain,Allods Online,1
www.youtube.com/watch?v=S8LfcpTNm3U,Sohaib,,1,,ES,Spain,Allods Online,1
www.youtube.com/watch?v=mb0qt9tRXz8,Sohaib,,1,,UA,Ukraine,Elsword,1
www.youtube.com/watch?v=RWelO9VUiwU,Callum,,1,,IL,Israel,War Thunder,218
www.youtube.com/watch?v=4iDpHS6cq9U,sheldon,,1,,US,United States,Age of Wushu,45
www.youtube.com/watch?v=h0QDkL4IRZ0,sheldon,,1,,US,United States,Age of Wushu,16
www.youtube.com/watch?v=ff99n7AQZlE,Stefan,,1,,US,United States,Age of Wushu,25
www.youtube.com/watch?v=0e-_W2bDvY8,Sohaib,,1,,US,United States,Ghost Recon,1
www.youtube.com/watch?v=T2MFBdPJpN0,Sohaib,,1,,US,United States,Elsword,7
www.youtube.com/watch?v=aznNbVqyNf0,sheldon,,1,,RO,Romania,Elsword,22
www.youtube.com/watch?v=pxg0gt6AM38,Sohaib,,1,,UA,Ukraine,Drakensang Online,142
www.youtube.com/watch?v=uWmfZlFL5UM,Sohaib,,1,,UA,Ukraine,Rappelz Online,25
www.youtube.com/watch?v=Go67kCMt8ok,sheldon,,1,,CA,Canada,Edgeworld,16
www.youtube.com/watch?v=NlXUhNKzvmM,sheldon,,1,1,CZ,Czech Republic,Goodgame Empire,38
www.youtube.com/watch?v=SHr5sxatqlY,Tyler,,1,,US,United States,Tera,8
www.youtube.com/watch?v=Cw1BoCRasow,Tyler,,1,,US,United States,Tera,2
www.youtube.com/watch?v=3GSMLTNoE7Y,Sohaib,trailer,1,,RU,Russian Federation,Tera,1
www.youtube.com/watch?v=Dn8TjD345-g,Sohaib,trailer,1,,RU,Russian Federation,Tera,1
www.youtube.com/watch?v=USRsGl7wZQ0,Sohaib,trailer,1,,US,United States,Elsword,1
www.youtube.com/watch?v=3Sw72CDkUmE,Sohaib,,1,,US,United States,Star Wars: The Old Republic (SWTOR),1
www.youtube.com/watch?v=ZYe5L1AZPi0,sheldon,,1,,CA,Canada,By Mmo 51,45
www.youtube.com/watch?v=TZMpHjrJWpQ,Preston,,1,,CA,Canada,Scarlet Blade,2
www.youtube.com/watch?v=zTPgx0XNTmY,Callum,,1,,RS,Serbia,Forge of Empires,14
www.youtube.com/watch?v=7sX9LE7IBjk,Tyler,,1,,HU,Hungary,League of Legends,24
www.youtube.com/watch?v=IFjS6yKg6bU,Tyler,,1,,HU,Hungary,Tera,48
www.youtube.com/watch?v=lv5vF0iJaxc,Tyler,,1,,HU,Hungary,Tera,4
www.youtube.com/watch?v=5OJ_HGjwFjM,Tyler,,1,,HU,Hungary,Tera,6
www.youtube.com/watch?v=M1K2b1uPLrM,Tyler,,1,,HU,Hungary,League of Legends,5
www.youtube.com/watch?v=usYOJuR5y8c,Tyler,,1,,HU,Hungary,League of Legends,5
www.youtube.com/watch?v=_3KEQ1MnHVs,Tyler,,1,,HU,Hungary,League of Legends,2
www.youtube.com/watch?v=qeUAiBWlD8k,Tyler,,1,,,,League of Legends,1
www.youtube.com/watch?v=CVyPjSk-OKo,Seb,,1,,SY,Syrian Arab Republic,Dragons of Atlantis,1
www.youtube.com/watch?v=S3ahss0CX_E,Seb,,1,,PH,Philippines,Ghost Recon,8
www.youtube.com/watch?v=Zgk9ZcxWySU,Sohaib,,1,,US,United States,Star Wars: The Old Republic (SWTOR),2
www.youtube.com/watch?v=o9ganp9cYeI,Sohaib,trailer,1,,PH,Philippines,Wartune,1
www.youtube.com/watch?v=2c-M_pZPJA0,Jesse,,1,,CA,Canada,Godsrule,4
www.youtube.com/watch?v=gDZYz5MkAec,Jesse,,1,,CZ,Czech Republic,Ghost Recon,2
www.youtube.com/watch?v=KFa0gd6gbcw,Jesse,,1,,US,United States,Lord of the Rings Online (LOTRO),4
www.youtube.com/watch?v=lhB3sCH2VX0,Jesse,,1,,US,United States,Lord of the Rings Online (LOTRO),1
www.youtube.com/watch?v=lJhqYvFRN4Q,Jesse,,1,,US,United States,Imperium Galactic War,1
www.youtube.com/watch?v=4AFud7s8hug,Jesse,,1,,US,United States,Wartune,3
www.youtube.com/watch?v=g9KBFb-yzfY,Jesse,No Sound,1,,US,United States,Wartune,42
www.youtube.com/watch?v=sKKydVX39Ds,Jesse,,1,,US,United States,Wartune,1
www.youtube.com/watch?v=NsRrGsX7lrk,Jesse,,1,,US,United States,Wartune,1
www.youtube.com/watch?v=JWQjrsriyMc,Jesse,,1,,US,United States,Godsrule,1
www.youtube.com/watch?v=ynw2Z0Z9aPg,Jesse,Some Lag,1,,US,United States,Fiesta,71
www.youtube.com/watch?v=a-LMQ0Gbgok,Jesse,Some Lag,1,,US,United States,Fiesta,34
www.youtube.com/watch?v=PpqXjXGB1MY,Jesse,,1,,US,United States,Pirate 101,5
www.youtube.com/watch?v=YdXCoOB4ECs,Jesse,,1,,US,United States,Warframe,1
www.youtube.com/watch?v=7xPJcYv66l0,Jesse,,1,,US,United States,Smashmuck Champions,5
