Reviewed by,Notes,"Score (-1=copyright, ?=questionable, 0=unrelated, 1=poor, 2=average, 3=good, 4=great, 5=pro, Approved=assume okay given past videos)",In playlist on anyTVgames?,YouTube views,User,Country Code,Country Name,Video_Link,Video_Offer,Video_Clicks
Eric,,1,,"3,710",Brandon Dodds,UK,United Kingdom,www.youtube.com/watch?v=X2hQjiotDRc,Warframe,3
Callum,,1,,"53,197",caleb2011x,US,United States,www.youtube.com/watch?v=zfuylywQngI,League of Legends,562
Eric,,1,,74,caleb2011x,US,United States,www.youtube.com/watch?v=odsRPmR2rb0,Tera,3
Eric,,1,,28,caleb2011x,US,United States,www.youtube.com/watch?v=59c3WyTo6IQ,War Thunder,1
Callum,,1,,"10,136",Canal Let&#039;s Play Videos,BR,Brazil,www.youtube.com/watch?v=w3wfbSYAklk,Maestia,356
Callum,,1,,"10,039",Canal Let&#039;s Play Videos,BR,Brazil,www.youtube.com/watch?v=eM-yKLoBPiQ,The Aurora World,315
Callum,,1,,"9,183",Canal Let&#039;s Play Videos,BR,Brazil,www.youtube.com/watch?v=aO9ArAunYIQ,Blacklight: Retribution,74
Callum,,1,,"9,171",Canal Let&#039;s Play Videos,BR,Brazil,www.youtube.com/watch?v=UiDH4h6Qc64,Ghost Recon,134
Callum,,1,,"7,584",Canal Let&#039;s Play Videos,BR,Brazil,www.youtube.com/watch?v=XD4BWB2u3fA,Moonlight Online,71
sheldon,,1,1,"22,200",Carpenter92,HU,Hungary,www.youtube.com/watch?v=p-rdZYvxh2k,Ghost Recon,20
Eric,,1,,39,Catalin88,RO,Romania,www.youtube.com/watch?v=W_mwdTzgTUQ,League of Legends,1
Eric,,1,,23,Catalin88,RO,Romania,www.youtube.com/watch?v=urR6SUaNNtw,League of Legends,1
Eric,,1,,"61,694",Censtudios,NL,Netherlands,www.youtube.com/watch?v=PlHmZHxgSes,Fiesta,1
Eric,,1,,"54,144",Censtudios,NL,Netherlands,www.youtube.com/watch?v=-4wgd-Ww1sc,Fiesta,2
Eric,,1,,"49,281",Censtudios,NL,Netherlands,www.youtube.com/watch?v=d_cV61m413A,Fiesta,3
Sohaib,,1,,"50,025",Censtudios,,,www.youtube.com/watch?v=liYEDguuPFA,Fiesta,1
Eric,,1,,"4,964",CenterHub,NO,Norway,www.youtube.com/watch?v=7tc7aotSHT0,Elsword,1
Callum,,1,,"100,003",CGO PLAY,RS,Serbia,www.youtube.com/watch?v=WaX908jZDTo,Disney Ghosts of Mistwood,22
Eric,,1,,"31,561",CGO PLAY,RS,Serbia,www.youtube.com/watch?v=AgDT7BsoHN4,Disney Ghosts of Mistwood,36
Leo,,1,,292,Chris Kelly,UK,United Kingdom,www.youtube.com/watch?v=kozPeHzJ9Pw,Age of Wushu,16
sheldon,,1,1,"12,707",CoJaGram,PL,Poland,www.youtube.com/watch?v=vQNBJQXcPWs,Aion,24
Jesse,,1,,"2,702",ColloseusX,UK,United Kingdom,www.youtube.com/watch?v=Ixx6ewS_I4o,League of Legends,2
Jesse,,1,,"1,584",ColloseusX,UK,United Kingdom,www.youtube.com/watch?v=MuDQ7JUtB7g,League of Legends,2
Sohaib,trailer,1,,"8,010",Constipated Owl,US,United States,www.youtube.com/watch?v=wLmZo6Wd5ig,Warframe,20
Jesse,,1,,557,crusher666games,UK,United Kingdom,www.youtube.com/watch?v=9m1O83FaEF8,PlanetSide 2,20
Sohaib,,1,,206,Ð°Ð»ÐµÐºÑÐµÐ¹,UA,Ukraine,www.youtube.com/watch?v=Cx_StX0AkGU,Rappelz Online,1
Sohaib,,1,,204,Ð°Ð»ÐµÐºÑÐµÐ¹,UA,Ukraine,www.youtube.com/watch?v=2A1-OmZNhl0,Terra Militaris Online,1
sheldon,,1,,"23,306",Dali HD Gaming,GR,Greece,www.youtube.com/watch?v=WEpoqnzKCu8,League of Legends,13
Stefan,,1,,"9,208",Dali HD Gaming,GR,Greece,www.youtube.com/watch?v=jor4unHBrc0,PlanetSide 2,17
Tyler,,1,,"5,215",Dali HD Gaming,GR,Greece,www.youtube.com/watch?v=POLTlCzWL4w,War Thunder,4
Tyler,,1,,"3,893",Dali HD Gaming,GR,Greece,www.youtube.com/watch?v=e2N6n3pWirQ,Path of Exile,3
Tyler,,1,,"3,770",Dali HD Gaming,GR,Greece,www.youtube.com/watch?v=csUtGKyaiog,Age of Wushu,15
Tyler,,1,,"2,172",Dali HD Gaming,GR,Greece,www.youtube.com/watch?v=jjiWbc9FyfY,World of Tanks,1
Tyler,,1,,"1,598",Dali HD Gaming,GR,Greece,www.youtube.com/watch?v=WmBNjauA4_s,RaiderZ,7
Tyler,,1,,"1,422",Dali HD Gaming,GR,Greece,www.youtube.com/watch?v=L727s-R1qt0,Warframe,1
Tyler,,1,,"1,215",Dali HD Gaming,GR,Greece,www.youtube.com/watch?v=SVMPQY3_egQ,Miner Wars,1
Tyler,,1,,"1,084",Dali HD Gaming,GR,Greece,www.youtube.com/watch?v=qavWsYm-Deg,Chrono Tales,13
Tyler,,1,,724,Dali HD Gaming,GR,Greece,www.youtube.com/watch?v=hSOMcPHS71s,Scarlet Blade,9
Tyler,,1,,680,Dali HD Gaming,GR,Greece,www.youtube.com/watch?v=g2CgcXBldzo,Star Wars: The Old Republic (SWTOR),4
Tyler,,1,,232,Dali HD Gaming,GR,Greece,www.youtube.com/watch?v=OQ37azTQsX0,Godsrule,9
Sohaib,,1,,"1,257",DarkHunterRPGx,DE,Germany,www.youtube.com/watch?v=CbTNxPW4UvE,Dragonica Online,1
Sohaib,,1,,865,DarkHunterRPGx,DE,Germany,www.youtube.com/watch?v=u5Fl9ctRrk8,Dragonica Online,1
Sohaib,,1,,751,DarkHunterRPGx,DE,Germany,www.youtube.com/watch?v=feanAs2f1IE,Dragonica Online,1
Sohaib,,1,,726,DarkHunterRPGx,DE,Germany,www.youtube.com/watch?v=OegIXnd3l7I,Dragonica Online,1
Sohaib,,1,,606,DarkHunterRPGx,DE,Germany,www.youtube.com/watch?v=THY4FyWchZM,Dragonica Online,2
Sohaib,,1,,254,DarkHunterRPGx,DE,Germany,www.youtube.com/watch?v=iLlOZc-Umw4,Rappelz Online,5
Sohaib,,1,,15,Dave Vanunu,US,United States,www.youtube.com/watch?v=8IAfxjqwsQc,Team Fortress 2,2
Sohaib,,1,,752,Death and Taxes Gaming,,,www.youtube.com/watch?v=Kh99RFHtOk0,Star Wars: The Old Republic (SWTOR),2
George,,1,,"1,229,933",Declan Wadey,UK,United Kingdom,www.youtube.com/watch?v=t-GCAZDhD7k,League of Legends,3
George,,1,,"1,136,196",Declan Wadey,UK,United Kingdom,www.youtube.com/watch?v=X_aVyShT8lw,League of Legends,2
George,,1,,"1,037,639",Declan Wadey,UK,United Kingdom,www.youtube.com/watch?v=k6E3O0CHUcQ,League of Legends,7
George,,1,,"836,259",Declan Wadey,UK,United Kingdom,www.youtube.com/watch?v=FUsxDEm3Ukc,League of Legends,4
Sohaib,,1,,206,Dimitri Grochikov,ES,Spain,www.youtube.com/watch?v=OAibkUoBTa4,Wartune,6
Sohaib,,1,,202,Dimitri Grochikov,ES,Spain,www.youtube.com/watch?v=8tehzN8OBcA,Allods Online,1
Sohaib,,1,,15,Dimitri Grochikov,ES,Spain,www.youtube.com/watch?v=S8LfcpTNm3U,Allods Online,1
Sohaib,,1,,12,Dmitryi Fox,UA,Ukraine,www.youtube.com/watch?v=mb0qt9tRXz8,Elsword,1
Callum,,1,,"1,738",DorVeErez,IL,Israel,www.youtube.com/watch?v=RWelO9VUiwU,War Thunder,218
sheldon,,1,,"16,433",Drunk Est,US,United States,www.youtube.com/watch?v=4iDpHS6cq9U,Age of Wushu,45
sheldon,,1,,"10,274",Drunk Est,US,United States,www.youtube.com/watch?v=h0QDkL4IRZ0,Age of Wushu,16
Stefan,,1,,"7,811",Drunk Est,US,United States,www.youtube.com/watch?v=ff99n7AQZlE,Age of Wushu,25
